metric,n_total,n_perfect,n_partial,n_incorrect,auprc,p_at_90r,p_at_95r,p_at_99r,auroc,sens_at_90spec,sens_at_95spec,sens_at_99spec
min_lp,756,369,297,90,0.304,0.1943,0.1915,0.136,0.7892,0.3778,0.2333,0.0444
mean_lp,756,369,297,90,0.3637,0.2799,0.2376,0.1721,0.8473,0.4667,0.2667,0.0556
var_lp,756,369,297,90,0.3335,0.2382,0.2191,0.1664,0.8307,0.4333,0.2222,0.0333
p5_lp,756,369,297,90,0.3352,0.2664,0.1814,0.1372,0.8241,0.4111,0.2556,0.0444
p10_lp,756,369,297,90,0.3533,0.2579,0.2443,0.1727,0.8411,0.4778,0.2,0.0444
botk_lp,756,369,297,90,0.3777,0.2375,0.2087,0.1411,0.8397,0.4333,0.3333,0.0667
order_lp,756,369,297,90,0.3158,0.2081,0.1786,0.1478,0.7943,0.3444,0.1778,0.0556
semantic_lp,756,369,297,90,0.362,0.2588,0.2353,0.184,0.848,0.4778,0.2778,0.0333
domain_lp,756,369,297,90,0.3399,0.2485,0.2396,0.1879,0.8409,0.4444,0.2667,0.0333
max_ent,756,369,297,90,0.3134,0.2115,0.1861,0.1382,0.7969,0.3889,0.1778,0.0556
mean_ent,756,369,297,90,0.3566,0.2588,0.2269,0.1498,0.8429,0.4222,0.2556,0.0222
var_ent,756,369,297,90,0.341,0.2382,0.2138,0.1852,0.8334,0.4444,0.1667,0.0667
p90_ent,756,369,297,90,0.3601,0.2647,0.2318,0.1271,0.8372,0.5,0.2556,0.0778
p95_ent,756,369,297,90,0.3463,0.2334,0.172,0.1587,0.829,0.4889,0.2556,0.0333
topk_ent,756,369,297,90,0.3735,0.2571,0.1946,0.1515,0.842,0.4667,0.3222,0.0778
order_ent,756,369,297,90,0.3045,0.201,0.17,0.1406,0.7833,0.3444,0.1778,0.0444
semantic_ent,756,369,297,90,0.3599,0.2516,0.2254,0.1645,0.8449,0.4556,0.2444,0.0222
domain_ent,756,369,297,90,0.345,0.2404,0.2159,0.1961,0.841,0.4889,0.2778,0.0111
prob_incorrect,756,369,297,90,0.3516,0.2664,0.2043,0.1426,0.8398,0.4556,0.2444,0.0667
