step,feature_added,individual_auprc,combined_auprc,auprc_gain,selected_so_far
0,botk_lp,0.3634,,,botk_lp
0,topk_ent,0.3628,,,topk_ent
0,mean_lp,0.3575,,,mean_lp
0,semantic_lp,0.3561,,,semantic_lp
0,semantic_ent,0.3518,,,semantic_ent
0,mean_ent,0.351,,,mean_ent
0,p90_ent,0.3502,,,p90_ent
0,p10_lp,0.3464,,,p10_lp
0,p95_ent,0.3403,,,p95_ent
0,domain_ent,0.3392,,,domain_ent
0,domain_lp,0.3366,,,domain_lp
0,p5_lp,0.3318,,,p5_lp
0,var_lp,0.3287,,,var_lp
0,var_ent,0.3261,,,var_ent
0,order_lp,0.3109,,,order_lp
0,min_lp,0.3023,,,min_lp
0,order_ent,0.3022,,,order_ent
0,max_ent,0.2968,,,max_ent
0,mean_vs_greedy_rouge1,0.2308,,,mean_vs_greedy_rouge1
0,mean_rouge1,0.2259,,,mean_rouge1
0,blur_rouge1,0.2202,,,blur_rouge1
0,mean_vs_greedy_rougeL,0.2155,,,mean_vs_greedy_rougeL
0,noise_rouge1,0.2099,,,noise_rouge1
0,mean_rougeL,0.1995,,,mean_rougeL
0,blur_rougeL,0.1947,,,blur_rougeL
0,mean_pairwise_rougeL,0.1899,,,mean_pairwise_rougeL
0,noise_rougeL,0.1891,,,noise_rougeL
0,mean_pairwise_rouge1,0.1838,,,mean_pairwise_rouge1
1,botk_lp,0.3634,0.3634,0.3634,botk_lp
2,noise_rougeL,0.1891,0.3784,0.015,"botk_lp, noise_rougeL"
